right,rx1,rx1_,rx2,rx2_,rx6,rx6_,left,rx3,rx3_,rx4,rx4_,rx5,rx5_,reserve,rx7,rx7_,,
,741,1857,123,291,458,1112,,600,1536,245,581,7A1,1953,,1,1,,
,7DF,2015,3B7,951,,,,601,1537,457,1111,7DF,2015,,1,1,,
,,,234,564,,,,602,1538,,,,,,,,,
,,,,,,,,603,1539,,,,,,,,,
,,,,,,,,604,1540,,,,,,,,,
,,,,,,,,605,1541,,,,,,,,,
,,,,,,,,606,1542,,,,,,,,,
,,,,,,,,607,1543,,,,,,,,,
,,,,,,,,608,1544,,,,,,,,,
,,,,,,,,609,1545,,,,,,,,,
,,,,,,,,60A,1546,,,,,,,,,
,,,,,,,,60B,1547,,,,,,,,,
,,,,,,,,60C,1548,,,,,,,,,
,,,,,,,,60D,1549,,,,,,,,,
,,,,,,,,60E,1550,,,,,,,,,
,,,,,,,,60F,1551,,,,,,,,,
,,,,,,,,610,1552,,,,,,,,,
,,,,,,,,611,1553,,,,,,,,,
,,,,,,,,612,1554,,,,,,,,,
,,,,,,,,613,1555,,,,,,,,,
,,,,,,,,614,1556,,,,,,,,,
,,,,,,,,615,1557,,,,,,,,,
,,,,,,,,616,1558,,,,,,,,,
,,,,,,,,617,1559,,,,,,,,,
,,,,,,,,618,1560,,,,,,,,,
,,,,,,,,619,1561,,,,,,,,,
,,,,,,,,61A,1562,,,,,,,,,
,,,,,,,,61B,1563,,,,,,,,,
,,,,,,,,61C,1564,,,,,,,,,
,,,,,,,,61D,1565,,,,,,,,,
,,,,,,,,61E,1566,,,,,,,,,
,,,,,,,,61F,1567,,,,,,,,,
,,,,,,,,620,1568,,,,,,,,,
,,,,,,,,621,1569,,,,,,,,,
,,,,,,,,622,1570,,,,,,,,,
,,,,,,,,623,1571,,,,,,,,,
,,,,,,,,624,1572,,,,,,,,,
,,,,,,,,625,1573,,,,,,,,,
,,,,,,,,626,1574,,,,,,,,,
,,,,,,,,627,1575,,,,,,,,,
,,,,,,,,628,1576,,,,,,,,,
,,,,,,,,629,1577,,,,,,,,,
,,,,,,,,62A,1578,,,,,,,,,
,,,,,,,,62B,1579,,,,,,,,,
,,,,,,,,62C,1580,,,,,,,,,
,,,,,,,,62D,1581,,,,,,,,,
,,,,,,,,62E,1582,,,,,,,,,
,,,,,,,,62F,1583,,,,,,,,,
,,,,,,,,630,1584,,,,,,,,,
,,,,,,,,631,1585,,,,,,,,,
,,,,,,,,632,1586,,,,,,,,,
,,,,,,,,633,1587,,,,,,,,,
,,,,,,,,634,1588,,,,,,,,,
,,,,,,,,635,1589,,,,,,,,,
,,,,,,,,636,1590,,,,,,,,,
,,,,,,,,637,1591,,,,,,,,,
,,,,,,,,638,1592,,,,,,,,,
,,,,,,,,639,1593,,,,,,,,,
,,,,,,,,63A,1594,,,,,,,,,
,,,,,,,,63B,1595,,,,,,,,,
,,,,,,,,63C,1596,,,,,,,,,
,,,,,,,,63D,1597,,,,,,,,,
,,,,,,,,63E,1598,,,,,,,,,
,,,,,,,,63F,1599,,,,,,,,,
,,,,,,,,640,1600,,,,,,,,,
,,,,,,,,641,1601,,,,,,,,,
,,,,,,,,642,1602,,,,,,,,,
,,,,,,,,643,1603,,,,,,,,,
,,,,,,,,644,1604,,,,,,,,,
,,,,,,,,645,1605,,,,,,,,,
,,,,,,,,646,1606,,,,,,,,,
,,,,,,,,647,1607,,,,,,,,,
,,,,,,,,648,1608,,,,,,,,,
,,,,,,,,649,1609,,,,,,,,,
,,,,,,,,64A,1610,,,,,,,,,
,,,,,,,,64B,1611,,,,,,,,,
,,,,,,,,64C,1612,,,,,,,,,
,,,,,,,,64D,1613,,,,,,,,,
,,,,,,,,64E,1614,,,,,,,,,
,,,,,,,,64F,1615,,,,,,,,,
,,,,,,,,650,1616,,,,,,,,,
,,,,,,,,651,1617,,,,,,,,,
,,,,,,,,652,1618,,,,,,,,,
,,,,,,,,653,1619,,,,,,,,,
,,,,,,,,654,1620,,,,,,,,,
,,,,,,,,655,1621,,,,,,,,,
,,,,,,,,656,1622,,,,,,,,,
,,,,,,,,657,1623,,,,,,,,,
,,,,,,,,658,1624,,,,,,,,,
,,,,,,,,659,1625,,,,,,,,,
,,,,,,,,65A,1626,,,,,,,,,
,,,,,,,,65B,1627,,,,,,,,,
,,,,,,,,65C,1628,,,,,,,,,
,,,,,,,,65D,1629,,,,,,,,,
,,,,,,,,65E,1630,,,,,,,,,
,,,,,,,,65F,1631,,,,,,,,,
,,,,,,,,660,1632,,,,,,,,,
,,,,,,,,661,1633,,,,,,,,,
,,,,,,,,662,1634,,,,,,,,,
,,,,,,,,663,1635,,,,,,,,,
,,,,,,,,664,1636,,,,,,,,,
,,,,,,,,665,1637,,,,,,,,,
,,,,,,,,666,1638,,,,,,,,,
,,,,,,,,667,1639,,,,,,,,,
,,,,,,,,668,1640,,,,,,,,,
,,,,,,,,669,1641,,,,,,,,,
,,,,,,,,66A,1642,,,,,,,,,
,,,,,,,,66B,1643,,,,,,,,,
,,,,,,,,66C,1644,,,,,,,,,
,,,,,,,,66D,1645,,,,,,,,,
,,,,,,,,66E,1646,,,,,,,,,
,,,,,,,,66F,1647,,,,,,,,,
,,,,,,,,670,1648,,,,,,,,,
,,,,,,,,671,1649,,,,,,,,,
,,,,,,,,672,1650,,,,,,,,,
,,,,,,,,673,1651,,,,,,,,,
,,,,,,,,674,1652,,,,,,,,,
,,,,,,,,675,1653,,,,,,,,,
